quarter,epsActual,epsEstimate,epsDifference,surprisePercent,ticker,fetch_date
2024-12-31,0.53,0.52584,0.0,0.007900001,NEE,2025-12-31 16:58:47.219335
2025-03-31,0.99,0.9784,0.01,0.0119,NEE,2025-12-31 16:58:47.219335
2025-06-30,1.05,1.00953,0.04,0.0401,NEE,2025-12-31 16:58:47.219335
2025-09-30,1.13,1.02155,0.11,0.1062,NEE,2025-12-31 16:58:47.219335
2024-12-31,2.75,2.53215,0.22,0.086,UPS,2025-12-31 16:58:50.456328
2025-03-31,1.49,1.38078,0.11,0.0791,UPS,2025-12-31 16:58:50.456328
2025-06-30,1.55,1.56596,-0.02,-0.010199999,UPS,2025-12-31 16:58:50.456328
2025-09-30,1.74,1.29913,0.44,0.3394,UPS,2025-12-31 16:58:50.456328
2024-12-31,1.67,1.46754,0.2,0.138,BMY,2025-12-31 16:58:54.133087
2025-03-31,1.8,1.50145,0.3,0.1988,BMY,2025-12-31 16:58:54.133087
2025-06-30,1.46,1.10106,0.36,0.32599998,BMY,2025-12-31 16:58:54.133087
2025-09-30,1.63,1.51554,0.11,0.075500004,BMY,2025-12-31 16:58:54.133087
2024-12-31,1.54,1.37741,0.16,0.118,RTX,2025-12-31 16:58:57.646366
2025-03-31,1.47,1.36716,0.1,0.0752,RTX,2025-12-31 16:58:57.646366
2025-06-30,1.56,1.42508,0.13,0.0947,RTX,2025-12-31 16:58:57.646366
2025-09-30,1.7,1.40911,0.29,0.20639999,RTX,2025-12-31 16:58:57.646366
2024-12-31,2.47,2.34617,0.12,0.052800003,HON,2025-12-31 16:59:01.209092
2025-03-31,2.51,2.20882,0.3,0.1364,HON,2025-12-31 16:59:01.209092
2025-06-30,2.75,2.65888,0.09,0.0343,HON,2025-12-31 16:59:01.209092
2025-09-30,2.82,2.5667,0.25,0.0987,HON,2025-12-31 16:59:01.209092
2024-12-31,2.91,2.78732,0.12,0.044,UNP,2025-12-31 16:59:04.705104
2025-03-31,2.7,2.7393,-0.04,-0.0143,UNP,2025-12-31 16:59:04.705104
2025-06-30,3.15,2.90842,0.24,0.083100006,UNP,2025-12-31 16:59:04.705104
2025-09-30,3.01,2.9762,0.03,0.0114,UNP,2025-12-31 16:59:04.705104
2024-12-31,3.41,2.98586,0.42,0.142,QCOM,2025-12-31 16:59:08.251408
2025-03-31,2.85,2.81657,0.03,0.0119,QCOM,2025-12-31 16:59:08.251408
2025-06-30,2.77,2.71433,0.06,0.020499999,QCOM,2025-12-31 16:59:08.251408
2025-09-30,3.0,2.87578,0.12,0.0432,QCOM,2025-12-31 16:59:08.251408
2024-12-31,5.31,5.07503,0.23,0.0463,AMGN,2025-12-31 16:59:11.722315
2025-03-31,4.9,4.26067,0.64,0.15010001,AMGN,2025-12-31 16:59:11.722315
2025-06-30,6.02,5.2768,0.74,0.1408,AMGN,2025-12-31 16:59:11.722315
2025-09-30,5.64,5.01464,0.63,0.1247,AMGN,2025-12-31 16:59:11.722315
2025-01-31,1.93,1.84094,0.09,0.0484,LOW,2025-12-31 16:59:15.227749
2025-04-30,2.92,2.87961,0.04,0.0139999995,LOW,2025-12-31 16:59:15.227749
2025-07-31,4.33,4.23777,0.09,0.0218,LOW,2025-12-31 16:59:15.227749
2025-10-31,3.06,2.9534,0.11,0.0361,LOW,2025-12-31 16:59:15.227749
2024-12-31,-5.9,-3.77967,-2.12,-0.561,BA,2025-12-31 16:59:18.710119
2025-03-31,-0.49,-1.30299,0.81,0.6239,BA,2025-12-31 16:59:18.710119
2025-06-30,-1.24,-1.26982,0.03,0.0235,BA,2025-12-31 16:59:18.710119
2025-09-30,-7.47,-2.37563,-5.09,-2.1444001,BA,2025-12-31 16:59:18.710119
2024-12-31,2.22,1.68953,0.53,0.314,MS,2025-12-31 16:59:22.187316
2025-03-31,2.6,2.19245,0.41,0.1859,MS,2025-12-31 16:59:22.187316
2025-06-30,2.13,1.96158,0.17,0.0859,MS,2025-12-31 16:59:22.187316
2025-09-30,2.8,2.11118,0.69,0.32630002,MS,2025-12-31 16:59:22.187316
2024-12-31,1.98,1.83466,0.15,0.0792,COP,2025-12-31 16:59:25.588143
2025-03-31,2.09,2.04948,0.04,0.0198,COP,2025-12-31 16:59:25.588143
2025-06-30,1.42,1.35615,0.06,0.0471,COP,2025-12-31 16:59:25.588143
2025-09-30,1.61,1.41164,0.2,0.14050001,COP,2025-12-31 16:59:25.588143
2024-12-31,3.77,3.47208,0.3,0.0858,SPGI,2025-12-31 16:59:29.110175
2025-03-31,4.37,4.20577,0.16,0.039,SPGI,2025-12-31 16:59:29.110175
2025-06-30,4.43,4.22393,0.21,0.048800003,SPGI,2025-12-31 16:59:29.110175
2025-09-30,4.73,4.40892,0.32,0.0728,SPGI,2025-12-31 16:59:29.110175
2024-12-31,0.69,0.66695,0.02,0.0346,SBUX,2025-12-31 16:59:32.355650
2025-03-31,0.41,0.48368,-0.07,-0.1523,SBUX,2025-12-31 16:59:32.355650
2025-06-30,0.5,0.64511,-0.15,-0.22489999,SBUX,2025-12-31 16:59:32.355650
2025-09-30,0.52,0.55621,-0.04,-0.0651,SBUX,2025-12-31 16:59:32.355650
2024-12-31,5.14,5.02704,0.11,0.0225,CAT,2025-12-31 16:59:36.017222
2025-03-31,4.25,4.34495,-0.09,-0.0219,CAT,2025-12-31 16:59:36.017222
2025-06-30,4.72,4.90312,-0.18,-0.0373,CAT,2025-12-31 16:59:36.017222
2025-09-30,4.95,4.52334,0.43,0.0943,CAT,2025-12-31 16:59:36.017222
2024-12-31,1.32,1.04016,0.28,0.269,GE,2025-12-31 16:59:39.528463
2025-03-31,1.49,1.26802,0.22,0.1751,GE,2025-12-31 16:59:39.528463
2025-06-30,1.66,1.43135,0.23,0.1597,GE,2025-12-31 16:59:39.528463
2025-09-30,1.66,1.46885,0.19,0.1301,GE,2025-12-31 16:59:39.528463
2024-12-31,11.93,11.21682,0.71,0.0636,BLK,2025-12-31 16:59:42.789466
2025-03-31,11.3,10.1263,1.17,0.1159,BLK,2025-12-31 16:59:42.789466
2025-06-30,12.05,10.80987,1.24,0.114700004,BLK,2025-12-31 16:59:42.789466
2025-09-30,11.55,11.33852,0.21,0.0187,BLK,2025-12-31 16:59:42.789466
2024-12-31,1.09,1.08606,0.0,0.0036000002,AMD,2025-12-31 16:59:46.381337
2025-03-31,0.96,0.93359,0.03,0.028299998,AMD,2025-12-31 16:59:46.381337
2025-06-30,0.48,0.48264,-0.0,-0.0055,AMD,2025-12-31 16:59:46.381337
2025-09-30,1.2,1.171,0.03,0.0248,AMD,2025-12-31 16:59:46.381337
2024-12-31,7.71,6.6202,1.09,0.16459998,LMT,2025-12-31 16:59:50.060849
2025-03-31,7.28,6.32333,0.96,0.1513,LMT,2025-12-31 16:59:50.060849
2025-06-30,1.46,6.46506,-5.01,-0.77419996,LMT,2025-12-31 16:59:50.060849
2025-09-30,6.95,6.34996,0.6,0.0945,LMT,2025-12-31 16:59:50.060849
2025-01-31,3.32,2.57503,0.74,0.2893,INTU,2025-12-31 16:59:53.657361
2025-04-30,11.65,10.91125,0.74,0.0677,INTU,2025-12-31 16:59:53.657361
2025-07-31,2.75,2.65949,0.09,0.034,INTU,2025-12-31 16:59:53.657361
2025-10-31,3.34,3.09288,0.25,0.0799,INTU,2025-12-31 16:59:53.657361
2024-12-31,3.04,3.03475,0.01,0.0017,AXP,2025-12-31 16:59:57.123944
