period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,ticker,fetch_date
+1q,1.77333,-1.55,2.4,2.22,9,-0.20120001,MRK,2025-12-31 16:57:26.778122
0y,8.97378,8.9,9.12,7.65,19,0.173,MRK,2025-12-31 16:57:26.778122
+1y,8.27242,5.25,10.05256,8.97378,20,-0.078200005,MRK,2025-12-31 16:57:26.778122
0q,3.35327,3.3,3.52,2.16,18,0.5524,ABBV,2025-12-31 16:57:30.296249
+1q,3.11182,2.92,3.41,2.46,11,0.265,ABBV,2025-12-31 16:57:30.296249
0y,10.64137,10.5,10.8,10.12,27,0.0515,ABBV,2025-12-31 16:57:30.296249
+1y,14.25264,13.26,15.43,10.64137,28,0.3394,ABBV,2025-12-31 16:57:30.296249
0q,7.17441,6.65,8.72,5.32,18,0.3486,LLY,2025-12-31 16:57:33.844406
+1q,7.45556,6.53,9.3,3.34,9,1.2322,LLY,2025-12-31 16:57:33.844406
0y,23.65796,22.29,25.38,12.99,28,0.8212,LLY,2025-12-31 16:57:33.844406
+1y,32.63357,27.1,39.17,23.65796,28,0.37939999,LLY,2025-12-31 16:57:33.844406
